Comunidades/provincias	Clase de bovinos	Explotaciones/Cabezas	Total
TOTAL	Total de bovinos	Número de cabezas	6.018.905
Andalucía	Total de bovinos	Número de cabezas	525.138
Almería	Total de bovinos	Número de cabezas	2.239
Cádiz	Total de bovinos	Número de cabezas	149.279
Córdoba	Total de bovinos	Número de cabezas	131.889
Granada	Total de bovinos	Número de cabezas	19.548
Huelva	Total de bovinos	Número de cabezas	54.843
Jaén	Total de bovinos	Número de cabezas	33.370
Málaga	Total de bovinos	Número de cabezas	23.440
Sevilla	Total de bovinos	Número de cabezas	110.530
Aragón	Total de bovinos	Número de cabezas	295.351
Huesca	Total de bovinos	Número de cabezas	196.201
Teruel	Total de bovinos	Número de cabezas	27.244
Zaragoza	Total de bovinos	Número de cabezas	71.906
Asturias (Principado de)	Total de bovinos	Número de cabezas	456.587
Balears (Illes)	Total de bovinos	Número de cabezas	46.020
Canarias	Total de bovinos	Número de cabezas	17.188
Palmas (Las)	Total de bovinos	Número de cabezas	11.480
Santa Cruz de Tenerife	Total de bovinos	Número de cabezas	5.708
Cantabria	Total de bovinos	Número de cabezas	340.993
Castilla y León	Total de bovinos	Número de cabezas	1.202.572
Ávila	Total de bovinos	Número de cabezas	208.798
Burgos	Total de bovinos	Número de cabezas	80.720
León	Total de bovinos	Número de cabezas	134.310
Palencia	Total de bovinos	Número de cabezas	62.954
Salamanca	Total de bovinos	Número de cabezas	454.599
Segovia	Total de bovinos	Número de cabezas	107.785
Soria	Total de bovinos	Número de cabezas	18.164
Valladolid	Total de bovinos	Número de cabezas	49.458
Zamora	Total de bovinos	Número de cabezas	85.784
Castilla-La Mancha	Total de bovinos	Número de cabezas	311.352
Albacete	Total de bovinos	Número de cabezas	7.059
Ciudad Real	Total de bovinos	Número de cabezas	82.961
Cuenca	Total de bovinos	Número de cabezas	8.775
Guadalajara	Total de bovinos	Número de cabezas	14.416
Toledo	Total de bovinos	Número de cabezas	198.141
Cataluña	Total de bovinos	Número de cabezas	656.085
Barcelona	Total de bovinos	Número de cabezas	196.514
Girona	Total de bovinos	Número de cabezas	175.808
Lleida	Total de bovinos	Número de cabezas	267.111
Tarragona	Total de bovinos	Número de cabezas	16.652
Comunidad Valenciana	Total de bovinos	Número de cabezas	44.883
Alicante/Alacant	Total de bovinos	Número de cabezas	6.889
Castellón/Castelló	Total de bovinos	Número de cabezas	17.417
Valencia/València	Total de bovinos	Número de cabezas	20.577
Extremadura	Total de bovinos	Número de cabezas	576.294
Badajoz	Total de bovinos	Número de cabezas	220.619
Cáceres	Total de bovinos	Número de cabezas	355.675
Galicia	Total de bovinos	Número de cabezas	1.078.029
Coruña (A)	Total de bovinos	Número de cabezas	415.639
Lugo	Total de bovinos	Número de cabezas	485.124
Ourense	Total de bovinos	Número de cabezas	64.308
Pontevedra	Total de bovinos	Número de cabezas	112.958
Madrid (Comunidad de)	Total de bovinos	Número de cabezas	95.383
Murcia (Región de)	Total de bovinos	Número de cabezas	49.942
Navarra (Comunidad Foral de)	Total de bovinos	Número de cabezas	110.798
País Vasco	Total de bovinos	Número de cabezas	178.255
Álava	Total de bovinos	Número de cabezas	40.311
Guipúzcoa	Total de bovinos	Número de cabezas	68.602
Vizcaya	Total de bovinos	Número de cabezas	69.342
Rioja (La)	Total de bovinos	Número de cabezas	34.002
Ceuta	Total de bovinos	Número de cabezas	24
Melilla	Total de bovinos	Número de cabezas	9
